table_name,ordinal_position,column_name,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_generated,generation_expression
sessions,30,high_game_winnings,ARRAY,_numeric,null,null,null,NO,"'{0,0,0}'::numeric[]",NEVER,null
sessions,31,high_game_cost,ARRAY,_numeric,null,null,null,NO,"'{0,0,0}'::numeric[]",NEVER,null
sessions,32,poker_quarter_cost,ARRAY,_numeric,null,null,null,NO,"'{0,0,0}'::numeric[]",NEVER,null
sessions,33,poker_dollar_cost,ARRAY,_numeric,null,null,null,NO,"'{0,0,0}'::numeric[]",NEVER,null
sessions,34,three_six_nine_cost,numeric,numeric,null,null,null,NO,0,NEVER,null
shots,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
shots,2,user_id,uuid,uuid,null,null,null,NO,null,NEVER,null
shots,3,team_id,uuid,uuid,null,null,null,YES,null,NEVER,null
shots,4,league_id,uuid,uuid,null,null,null,YES,null,NEVER,null
shots,5,date,date,date,null,null,null,NO,null,NEVER,null
shots,6,game,integer,int4,null,32,0,NO,null,NEVER,null
shots,7,frame,integer,int4,null,32,0,NO,null,NEVER,null
shots,8,ball_num,integer,int4,null,32,0,YES,null,NEVER,null
shots,9,lane,text,text,null,null,null,YES,null,NEVER,null
shots,10,ball,text,text,null,null,null,YES,null,NEVER,null
shots,11,surface,text,text,null,null,null,YES,null,NEVER,null
shots,12,starting_board,text,text,null,null,null,YES,null,NEVER,null
shots,13,target_arrows,text,text,null,null,null,YES,null,NEVER,null
shots,14,result,text,text,null,null,null,NO,null,NEVER,nulltable_name,ordinal_position,column_name,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_generated,generation_expression
team_members,1,team_id,uuid,uuid,null,null,null,NO,null,NEVER,null
team_members,2,user_id,uuid,uuid,null,null,null,NO,null,NEVER,null
team_members,3,lineup_position,integer,int4,null,32,0,YES,null,NEVER,null
team_members,4,joined_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
team_members,5,left_handed,boolean,bool,null,null,null,NO,false,NEVER,null
team_members,6,is_sub,boolean,bool,null,null,null,NO,false,NEVER,null
teams,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
teams,2,name,text,text,null,null,null,NO,null,NEVER,null
teams,3,league_id,uuid,uuid,null,null,null,NO,null,NEVER,null
teams,4,created_by,uuid,uuid,null,null,null,YES,null,NEVER,null
teams,5,created_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
user_preferences,1,user_id,uuid,uuid,null,null,null,NO,null,NEVER,null
user_preferences,2,preferences,jsonb,jsonb,null,null,null,NO,'{}'::jsonb,NEVER,null
user_preferences,3,updated_at,timestamp with time zone,timestamptz,null,null,null,YES,now(),NEVER,null
